0.1000000E-03   0.4898397E+02   0.3593431E+00   0.6263780E+00
0.2000000E-03   0.1427361E+02   0.7509607E-01   0.3144353E+00
0.3000000E-03   0.7032930E+01   0.3904357E-01   0.2295368E+00
0.4000000E-03   0.4606861E+01   0.2945126E-01   0.2000147E+00
0.5000000E-03   0.3418840E+01   0.2523092E-01   0.1853991E+00
0.6000000E-03   0.2716543E+01   0.2288565E-01   0.1767151E+00
0.7000000E-03   0.2253174E+01   0.2139954E-01   0.1709688E+00
0.8000000E-03   0.1924678E+01   0.2037562E-01   0.1668874E+00
0.9000000E-03   0.1679703E+01   0.1962808E-01   0.1638396E+00
0.1000000E-02   0.1490009E+01   0.1905867E-01   0.1614774E+00
0.2000000E-02   0.6995958E+00   0.1677494E-01   0.1516136E+00
0.3000000E-02   0.4570780E+00   0.1610307E-01   0.1485808E+00
0.4000000E-02   0.3394138E+00   0.1578197E-01   0.1471083E+00
0.5000000E-02   0.2699263E+00   0.1559385E-01   0.1462384E+00
0.6000000E-02   0.2240555E+00   0.1547028E-01   0.1456640E+00
0.7000000E-02   0.1915104E+00   0.1538290E-01   0.1452565E+00
0.8000000E-02   0.1672208E+00   0.1531784E-01   0.1449522E+00
0.8999999E-02   0.1483990E+00   0.1526752E-01   0.1447165E+00
0.1000000E-01   0.1333856E+00   0.1522744E-01   0.1445284E+00
0.2000000E-01   0.6630507E-01   0.1504901E-01   0.1436880E+00
0.3000000E-01   0.4411786E-01   0.1499022E-01   0.1434100E+00
0.4000000E-01   0.3305641E-01   0.1496096E-01   0.1432714E+00
0.5000000E-01   0.2642980E-01   0.1494344E-01   0.1431883E+00
0.6000000E-01   0.2201633E-01   0.1493178E-01   0.1431330E+00
0.7000000E-01   0.1886593E-01   0.1492345E-01   0.1430935E+00
0.8000000E-01   0.1650427E-01   0.1491722E-01   0.1430639E+00
0.8999999E-01   0.1466811E-01   0.1491237E-01   0.1430409E+00
0.1000000E+00   0.1319960E-01   0.1490849E-01   0.1430225E+00
0.2000000E+00   0.6595981E-02   0.1489106E-01   0.1429398E+00
0.3000000E+00   0.4396473E-02   0.1488526E-01   0.1429122E+00
0.4000000E+00   0.3297037E-02   0.1488236E-01   0.1428984E+00
0.5000000E+00   0.2637477E-02   0.1488062E-01   0.1428901E+00
0.6000000E+00   0.2197811E-02   0.1487946E-01   0.1428846E+00
0.7000000E+00   0.1883787E-02   0.1487863E-01   0.1428807E+00
0.8000000E+00   0.1648280E-02   0.1487801E-01   0.1428778E+00
0.9000000E+00   0.1465115E-02   0.1487753E-01   0.1428755E+00
0.1000000E+01   0.1318586E-02   0.1487714E-01   0.1428736E+00
0.2000000E+01   0.6592504E-03   0.1487541E-01   0.1428654E+00
0.3000000E+01   0.4394938E-03   0.1487483E-01   0.1428626E+00
0.4000000E+01   0.3296238E-03   0.1487454E-01   0.1428612E+00
0.5000000E+01   0.2636905E-03   0.1487436E-01   0.1428604E+00
0.6000000E+01   0.2197427E-03   0.1487425E-01   0.1428598E+00
0.7000000E+01   0.1883549E-03   0.1487416E-01   0.1428595E+00
0.8000000E+01   0.1647953E-03   0.1487410E-01   0.1428592E+00
0.9000000E+01   0.1464938E-03   0.1487405E-01   0.1428589E+00
0.1000000E+02   0.1318418E-03   0.1487401E-01   0.1428587E+00
